Date,Predicted_Close,Upper_Bound,Lower_Bound
2026-03-16,221.5478,267.4082,175.6874
2026-03-17,221.6501,267.5317,175.7685
2026-03-18,221.7524,267.6551,175.8497
2026-03-19,221.8547,267.7786,175.9308
2026-03-20,221.957,267.9021,176.0119
2026-03-23,222.0593,268.0256,176.093
2026-03-24,222.1616,268.1491,176.1741
2026-03-25,222.2639,268.2725,176.2553
2026-03-26,222.3662,268.396,176.3364
2026-03-27,222.4685,268.5195,176.4175
2026-03-30,222.5708,268.643,176.4986
2026-03-31,222.6731,268.7664,176.5798
2026-04-01,222.7754,268.8899,176.6609
2026-04-02,222.8777,269.0134,176.742
2026-04-03,222.98,269.1369,176.8231
2026-04-06,223.0823,269.2603,176.9043
2026-04-07,223.1846,269.3838,176.9854
2026-04-08,223.2869,269.5073,177.0665
2026-04-09,223.3892,269.6308,177.1476
2026-04-10,223.4915,269.7542,177.2288
2026-04-13,223.5938,269.8777,177.3099
2026-04-14,223.6961,270.0012,177.391
2026-04-15,223.7984,270.1247,177.4721
2026-04-16,223.9007,270.2481,177.5533
2026-04-17,224.003,270.3716,177.6344
2026-04-20,224.1053,270.4951,177.7155
2026-04-21,224.2076,270.6186,177.7966
2026-04-22,224.3098,270.7419,177.8777
2026-04-23,224.4121,270.8654,177.9588
2026-04-24,224.5144,270.9889,178.0399
2026-04-27,224.6167,271.1124,178.121
2026-04-28,224.719,271.2358,178.2022
2026-04-29,224.8213,271.3593,178.2833
2026-04-30,224.9236,271.4828,178.3644
2026-05-01,225.0259,271.6063,178.4455
2026-05-04,225.1282,271.7297,178.5267
2026-05-05,225.2305,271.8532,178.6078
2026-05-06,225.3328,271.9767,178.6889
2026-05-07,225.4351,272.1002,178.77
2026-05-08,225.5374,272.2236,178.8512
2026-05-11,225.6397,272.3471,178.9323
2026-05-12,225.742,272.4706,179.0134
2026-05-13,225.8443,272.5941,179.0945
2026-05-14,225.9466,272.7175,179.1757
2026-05-15,226.0489,272.841,179.2568
2026-05-18,226.1512,272.9645,179.3379
2026-05-19,226.2535,273.088,179.419
2026-05-20,226.3558,273.2115,179.5001
2026-05-21,226.4581,273.3349,179.5813
2026-05-22,226.5604,273.4584,179.6624
2026-05-25,226.6627,273.5819,179.7435
2026-05-26,226.765,273.7054,179.8246
2026-05-27,226.8673,273.8288,179.9058
2026-05-28,226.9696,273.9523,179.9869
2026-05-29,227.0719,274.0758,180.068
2026-06-01,227.1742,274.1993,180.1491
2026-06-02,227.2765,274.3227,180.2303
2026-06-03,227.3788,274.4462,180.3114
2026-06-04,227.4811,274.5697,180.3925
2026-06-05,227.5834,274.6932,180.4736
